# Lot 1707	Ks Filter (1990nm-2310nm)	
# Information in red is the Room temp (298K) measured data for the delivered filter
# 80mm Diameter X 5mm		
# Lot 1707 pc#2(rot1) Center	pc#3(rot2) Center
#	ch1	ch2
#	298K	0 deg aoi
## note that the temperature and aoi difference is negligible.
#peakT%	97.077034	96.92486572
#Cut-on	1995.06	1993.982
#Cut-off	2309.877	2309.738
# wl(A)	T%	T%
20430.0  96.06155396  95.84627533
20420.0  96.16119385  95.96205139
20410.0  96.14177704  95.94623566
20400.0  96.20059967  96.0438385
20390.0  96.17791748  95.95500183
20380.0  96.19657135  96.03624725
20370.0  96.1749649  95.98414612
20360.0  96.34420013  96.12347412
20350.0  96.36193848  96.1526947
20340.0  96.40892792  96.18878174
20330.0  96.39351654  96.18218994
20320.0  96.42423248  96.27709198
20310.0  96.42207336  96.32597351
20300.0  96.48388672  96.34471893
20290.0  96.65510559  96.41773987
20280.0  96.58072662  96.35424805
20270.0  96.64467621  96.46068573
20260.0  96.66983795  96.37859344
20250.0  96.64148712  96.38978577
20240.0  96.63872528  96.45941925
20230.0  96.75070953  96.56496429
20220.0  96.52786255  96.3358078
20210.0  96.51275635  96.25973511
20200.0  96.57115936  96.38479614
20190.0  96.46994781  96.29444122
20180.0  96.45637512  96.22833252
20170.0  96.17127991  95.87459564
20160.0  96.03256226  95.85016632
20150.0  95.77068329  95.72927094
20140.0  95.62795258  95.510849
20130.0  95.12743378  95.07254028
20120.0  94.48639679  94.58759308
20110.0  93.87770081  94.05641174
20100.0  92.97868347  93.24541473
20090.0  91.87366486  92.34244537
20080.0  90.53039551  91.24950409
20070.0  88.75617981  89.87940979
20060.0  86.82691193  88.05553436
20050.0  84.40694427  85.98761749
20040.0  81.82844543  83.82337189
20030.0  78.84939575  81.1542511
20020.0  75.68321991  78.22782898
20010.0  72.10511017  74.98951721
20000.0  68.22251892  71.44030762
19990.0  64.51924133  67.92367554
19980.0  60.70617294  64.27120972
19970.0  56.37641525  60.20820236
19960.0  52.54988861  56.35969162
19950.0  48.28518295  52.14435577
19940.0  44.65636063  48.60471344
19930.0  41.10602951  44.9166832
19920.0  37.59320831  41.29381561
19910.0  34.46642303  37.93928909
19900.0  31.53339577  34.82115555
19890.0  28.75492477  32.07116318
19880.0  26.28959084  29.32444
19870.0  24.1911602  26.97066879
19860.0  21.96270752  24.60295868
19850.0  20.01657867  22.43219376
19840.0  18.38515091  20.63838768
19830.0  16.75837898  18.85455513
19820.0  15.35308075  17.29730797
19810.0  14.04732513  15.85996723
19800.0  12.89256191  14.46620083
19790.0  11.74250507  13.30156803
19780.0  10.84881687  12.19353962
19770.0  9.808642387  11.0951767
19760.0  9.007694244  10.10363293
19750.0  8.140539169  9.21254921
19740.0  7.460587502  8.421071053
19730.0  6.722131252  7.571156979
19720.0  6.15481329  6.953735828
19710.0  5.735343456  6.191389084
19700.0  4.998224258  5.689546108
19690.0  4.514631748  5.165793419
19680.0  4.063220978  4.551206112
19670.0  3.572112799  4.133663654
19660.0  3.273120403  3.678516626
19650.0  2.972625017  3.285395622
19640.0  2.726250172  2.881026268
19630.0  2.23472929  2.498751879
19620.0  2.167984962  2.501772165
19610.0  1.961419225  2.072003365
19600.0  1.721154571  1.931149364
19590.0  1.482949972  1.633853078
19580.0  1.37877059  1.44812727
19570.0  1.228064775  1.29792583
19560.0  1.130412221  1.21336627
19550.0  0.830502152  1.183373809
19540.0  0.89228785  0.967559218
19530.0  0.85379827  0.954521239
19520.0  0.827684879  0.833950818
19510.0  0.724801421  0.722364366
19500.0  0.575408518  0.663987517
19490.0  0.504352272  0.563932419
19480.0  0.586284697  0.643949807
19470.0  0.496272504  0.560000598
19460.0  0.425695688  0.689238966
19450.0  0.450636119  0.368807912
19440.0  0.341737419  0.336167544
19430.0  0.290483445  0.366836578
19420.0  0.392036051  0.383410275
19410.0  0.267623484  0.354795247
19400.0  0.311099142  0.254701138
19390.0  0.194350049  0.25353545
19380.0  0.321686983  0.369595021
19370.0  0.360707134  0.356919587
19360.0  0.271786273  0.396263182
19350.0  0.194885403  0.15270403
19340.0  0.402504116  0.408206612
19330.0  0.237997755  0.174190715
19320.0  0.306803912  0.141963095
19310.0  0.233638778  0.329102308
19300.0  0.172826886  0.278324395
19290.0  0.07611189  0.167294785
19280.0  0.187464818  0.211212814
19270.0  0.297062635  0.225263879
19260.0  0.120652281  0.125985205
19250.0  0.178073168  0.148688629
19240.0  0.244086772  0.170447916
19230.0  0.231024176  0.198431894
19220.0  0.234801665  0.222829104
19210.0  0.248872668  0.216298595
19200.0  0.237809524  0.075999998
19190.0  0.08054322  0.173585653
19180.0  0.071880423  0.129294559
19170.0  0.118904106  0.178059548
19160.0  0.195874363  0.147674695
19150.0  0.163722888  0.090239681
19140.0  0.117509008  0.128085598
19130.0  0.270261675  0.260192543
19120.0  0.018758789  0.079533681
19110.0  0.159877777  0.151692778
19100.0  0.133081302  0.110801883
19090.0  0.145639241  0.145851463
19080.0  0.160949916  0.107832871
19070.0  0.164460883  0.202719152
19060.0  0.014282515  0.126617163
19050.0  0.240043476  0.201624423
19040.0  0.078085333  0.022095572
19030.0  0.097791664  0.160877734
19020.0  0.147312492  0.175639257
19010.0  0.074189194  0.10416688
19000.0  0.206067979  0.189228758
18990.0  -0.025143459  0.001187012
18980.0  0.131904945  0.06773223
18970.0  0.080503032  0.14938803
18960.0  0.084664099  0.038014419
18950.0  0.095579199  0.114631265
18940.0  0.084419042  0.09688244
18930.0  0.09882848  0.071104817
18920.0  0.132527173  0.246319145
18910.0  0.079001233  0.131501868
18900.0  0.246634364  0.211749926
18890.0  0.164127782  0.128708303
18880.0  0.121750809  0.164954647
18870.0  0.155176401  0.345434606
18860.0  0.202051014  0.177105323
18850.0  0.224333286  0.202515677
18840.0  0.118501522  0.149281338
18830.0  0.075811483  0.083664708
18820.0  0.132280022  0.019216316
18810.0  0.160444126  0.118989088
18800.0  0.163720623  0.103893213
18790.0  0.139614269  0.147744909
18780.0  0.065281041  0.090877645
18770.0  0.112566948  0.269094825
18760.0  0.146357819  0.115819402
18750.0  0.114857242  0.091451637
18740.0  0.016118363  0.011258132
18730.0  0.288999558  0.337346584
18720.0  0.152107731  0.106262751
18710.0  0.267609477  0.229286164
18700.0  0.041114248  0.078508921
18690.0  0.057880852  0.153290987
18680.0  0.245865807  0.231436238
18670.0  0.106438831  0.109847672
18660.0  -0.030563699  0.00382377
18650.0  0.167017832  0.14926225
18640.0  0.258592278  0.22279352
18630.0  0.174837023  0.147753283
18620.0  0.076730199  0.09794502
18610.0  0.021107364  -0.00241937
18600.0  0.203139737  0.245035604
18590.0  0.097990632  0.173948303
18580.0  0.07812731  0.065389335
18570.0  0.198626384  0.190438181
18560.0  0.139356583  0.117472947
18550.0  0.096152999  0.059746198
18540.0  0.103558742  0.115098223
18530.0  -0.008143874  -0.020356631
18520.0  0.072181568  0.093068503
18510.0  0.136120051  0.141601473
18500.0  0.079463542  0.110782273
18490.0  0.085649282  0.016012823
18480.0  0.14063628  0.211392909
18470.0  0.165698797  0.349673688
18460.0  0.072942644  0.008656139
18450.0  0.031354852  -0.023680316
18440.0  0.157518163  0.077981472
18430.0  -0.044379637  0.016643709
18420.0  0.099703774  0.168737948
18410.0  0.138524681  0.064473033
18400.0  0.236247391  0.257188231
18390.0  -0.040043898  -0.000453792
18380.0  0.144609049  0.137144521
18370.0  0.075281516  0.233269319
18360.0  0.116821565  0.01112823
18350.0  0.068819746  0.007954286
18340.0  0.062621847  0.08867532
18330.0  0.115966834  0.091470785
18320.0  0.017784469  0.065781303
18310.0  0.12909691  0.128961578
18300.0  0.034146599  0.04536286
18290.0  0.206402123  0.073099613
18280.0  0.025502607  0.202505946
18270.0  0.142508104  -0.010128647
18260.0  0.302415729  0.393382311
18250.0  0.210640296  0.243298307
18240.0  0.048009194  0.33479768
18230.0  0.075913824  -0.056059659
18220.0  0.147600755  0.127706811
18210.0  0.138320819  0.134720624
18200.0  0.260051072  0.135548547
18190.0  0.095891118  0.048408609
18180.0  0.178880423  0.095574521
18170.0  0.125659779  0.124508977
18160.0  0.149881467  0.157008037
18150.0  0.215594053  0.18684803
18140.0  0.021442363  0.012661328
18130.0  0.172268719  0.169930562
18120.0  0.055508722  0.079822369
18110.0  0.094525136  0.062808618
18100.0  0.113851138  0.114672057
18090.0  -0.023648936  -0.01524372
18080.0  0.118045077  0.035665572
18070.0  0.007406858  0.060547188
18060.0  0.155344948  0.206536084
18050.0  0.063793175  0.051041793
18040.0  0.078321859  0.122104108
18030.0  0.201381043  0.192816734
18020.0  0.024265714  0.079729728
18010.0  0.238434315  0.246434942
18000.0  0.116446413  -0.022730349
