#SUBARU CENTER	
#Wavelength (A)	%T
24328.00049  5.459926605
24326.00098  5.517215729
24323.99902  5.588081837
24321.99951  5.676291943
24320.0  5.735118389
24318.00049  5.82159996
24316.00098  5.889484882
24313.99902  5.986674786
24311.99951  6.049816132
24310.0  6.135118008
24308.00049  6.210268974
24306.00098  6.279755592
24303.99902  6.385532856
24301.99951  6.44908762
24300.0  6.546501637
24298.00049  6.629641533
24296.00098  6.714516163
24293.99902  6.800522804
24291.99951  6.892922401
24290.0  6.979850769
24288.00049  7.090166092
24286.00098  7.164710999
24283.99902  7.265884399
24281.99951  7.375939369
24280.0  7.476320744
24278.00049  7.576044083
24276.00098  7.661673546
24273.99902  7.785476208
24271.99951  7.864402771
24270.0  7.976454735
24268.00049  8.069472313
24266.00098  8.195270538
24263.99902  8.294380188
24261.99951  8.425183296
24260.0  8.530311584
24258.00049  8.661876678
24256.00098  8.763979912
24253.99902  8.887440681
24251.99951  9.003778458
24250.0  9.116627693
24248.00049  9.267928123
24246.00098  9.368232727
24243.99902  9.516069412
24241.99951  9.614011765
24240.0  9.78298378
24238.00049  9.893619537
24236.00098  10.05757427
24233.99902  10.1707983
24231.99951  10.31126213
24230.0  10.45899296
24228.00049  10.6166687
24226.00098  10.75624847
24223.99902  10.89640808
24221.99951  11.06126595
24220.0  11.18772316
24218.00049  11.36109829
24216.00098  11.48985958
24213.99902  11.67474937
24211.99951  11.8210268
24210.0  11.99108601
24208.00049  12.15090084
24206.00098  12.33463383
24203.99902  12.49056721
24201.99951  12.67804527
24200.0  12.83871078
24198.00049  13.03380394
24196.00098  13.23612976
24193.99902  13.38436604
24191.99951  13.5901432
24190.0  13.75497627
24188.00049  13.96460533
24186.00098  14.15103722
24183.99902  14.37385941
24181.99951  14.54891109
24180.0  14.78279686
24178.00049  14.96441555
24176.00098  15.20065784
24173.99902  15.3844595
24171.99951  15.60891247
24170.0  15.82462215
24168.00049  16.03391266
24166.00098  16.26955032
24163.99902  16.46401405
24161.99951  16.71881676
24160.0  16.93556976
24158.00049  17.20838547
24156.00098  17.40117073
24153.99902  17.67779922
24151.99951  17.89204407
24150.0  18.16286659
24148.00049  18.39553261
24146.00098  18.65808678
24143.99902  18.95159721
24141.99951  19.19119263
24140.0  19.46408081
24138.00049  19.70009613
24136.00098  20.00472641
24133.99902  20.24091339
24131.99951  20.55413818
24130.0  20.81278229
24128.00049  21.12872314
24126.00098  21.37856102
24123.99902  21.70067596
24121.99951  21.9835434
24120.0  22.29038239
24118.00049  22.56269646
24116.00098  22.86944199
24113.99902  23.1933403
24111.99951  23.47534561
24110.0  23.84946442
24108.00049  24.13329124
24106.00098  24.49186897
24103.99902  24.75418091
24101.99951  25.13770485
24100.0  25.4461937
24098.00049  25.8233242
24096.00098  26.13759613
24093.99902  26.51391411
24091.99951  26.83754349
24090.0  27.21899986
24088.00049  27.57916832
24086.00098  27.91292381
24083.99902  28.31326675
24081.99951  28.62332535
24080.0  29.03902245
24078.00049  29.38122177
24076.00098  29.83349609
24073.99902  30.17615128
24071.99951  30.61715889
24070.0  30.96204185
24068.00049  31.41490746
24066.00098  31.78760719
24063.99902  32.19803619
24061.99951  32.5891037
24060.0  33.01888275
24058.00049  33.45841599
24056.00098  33.82246399
24053.99902  34.3013649
24051.99951  34.67694092
24050.0  35.16638947
24048.00049  35.52233124
24046.00098  36.01100922
24043.99902  36.43242264
24041.99951  36.918293
24040.0  37.33310699
24038.00049  37.82194901
24036.00098  38.25406265
24033.99902  38.69638062
24031.99951  39.15382004
24030.0  39.55074692
24028.00049  40.10846329
24026.00098  40.49717331
24023.99902  41.04038239
24021.99951  41.44168091
24020.0  41.9813652
24018.00049  42.40331268
24016.00098  42.92936325
24013.99902  43.32878494
24011.99951  43.88402557
24010.0  44.35569
24008.00049  44.82549286
24006.00098  45.3483429
24003.99902  45.80318832
24001.99951  46.32484055
24000.0  46.70721817
23998.00049  47.32279968
23996.00098  47.72246933
23993.99902  48.29664612
23991.99951  48.71218491
23990.0  49.29469681
23988.00049  49.76341629
23986.00098  50.31159592
23983.99902  50.76709366
23981.99951  51.23755264
23980.0  51.73912048
23978.00049  52.2474823
23976.00098  52.81168747
23973.99902  53.21076584
23971.99951  53.80646515
23970.0  54.22977066
23968.00049  54.8235817
23966.00098  55.20863342
23963.99902  55.77946472
23961.99951  56.2110672
23960.0  56.76811981
23958.00049  57.22098923
23956.00098  57.75855255
23953.99902  58.2501297
23951.99951  58.71714401
23950.0  59.21713257
23948.00049  59.65417099
23946.00098  60.21692657
