# ED780-1		ED780-2
# 80mm Dia X 5mmT w/ wedge		
# Measured at Center of part		
# 298K,0 deg aoi		
## note that the temperature and aoi difference is negligible.
# peakT%	97.48438263	97.84909821
# Cut-on:	1493.19	1492.97
# Cut-off:	1778.53	1782.27
# wl(A)	T%	T%
17525.0  85.38137817  93.0082016
17520.0  85.57876587  93.28308105
17515.0  85.86262512  93.59489441
17510.0  86.12562561  93.87238312
17505.0  86.48721313  94.19607544
17500.0  86.83966827  94.52899933
17495.0  87.17134094  94.74739838
17490.0  87.55499268  94.99035645
17485.0  87.96810913  95.28837585
17480.0  88.38500214  95.53813934
17475.0  88.79499817  95.75730896
17470.0  89.23492432  95.97751617
17465.0  89.69617462  96.14547729
17460.0  90.14801788  96.34634399
17455.0  90.55641937  96.43766022
17450.0  91.02425385  96.56790161
17445.0  91.42904663  96.70101166
17440.0  91.8946991  96.80702972
17435.0  92.30947876  96.81278992
17430.0  92.69460297  96.8105545
17425.0  93.08339691  96.88826752
17420.0  93.41905212  96.86627197
17415.0  93.81212616  96.79069519
17410.0  94.11863708  96.74872589
17405.0  94.36405945  96.66590881
17400.0  94.68167877  96.57732391
17395.0  94.97470093  96.44536591
17390.0  95.19115448  96.3087616
17385.0  95.3931427  96.17408752
17380.0  95.62180328  96.06993103
17375.0  95.79131317  95.88027191
17370.0  95.88511658  95.6954422
17365.0  95.96620941  95.49736023
17360.0  96.06832886  95.34744263
17355.0  96.09954071  95.14311218
17350.0  96.1244812  94.98162079
17345.0  96.14356995  94.78469849
17340.0  96.16560364  94.60071564
17335.0  96.1621933  94.42750549
17330.0  96.15611267  94.26615906
17325.0  96.07446289  94.09221649
17320.0  96.03005981  93.95322418
17315.0  95.94915771  93.7879715
17310.0  95.87516022  93.63852692
17305.0  95.78609467  93.54840088
17300.0  95.6601944  93.39557648
17295.0  95.59996796  93.3234024
17290.0  95.51605225  93.2322998
17285.0  95.38469696  93.15203094
17280.0  95.29031372  93.08478546
17275.0  95.19515991  93.04358673
17270.0  95.09632111  93.02037811
17265.0  95.02124023  92.97901917
17260.0  94.94091034  92.97260284
17255.0  94.85467529  92.99249268
17250.0  94.81803131  93.01519775
17245.0  94.76161957  93.06919861
17240.0  94.71910095  93.11148834
17235.0  94.68669891  93.19700623
17230.0  94.68511963  93.27790833
17225.0  94.64985657  93.3503418
17220.0  94.64229584  93.45078278
17215.0  94.69521332  93.59483337
17210.0  94.70071411  93.70787811
17205.0  94.69082642  93.81167603
17200.0  94.73284149  93.95836639
17195.0  94.87402344  94.16652679
17190.0  94.93231964  94.31532288
17185.0  94.99364471  94.46536255
17180.0  95.0532608  94.60622406
17175.0  95.1957016  94.79602814
17170.0  95.28202057  94.97306061
17165.0  95.40388489  95.16287231
17160.0  95.52451324  95.37200928
17155.0  95.62850952  95.50874329
17150.0  95.72592163  95.69104767
17145.0  95.85881042  95.87741852
17140.0  95.97727203  96.05109406
17135.0  96.11099243  96.21322632
17130.0  96.25418091  96.35940552
17125.0  96.33621979  96.48511505
17120.0  96.4897995  96.6730423
17115.0  96.57808685  96.78975677
17110.0  96.7014389  96.92747498
17105.0  96.79750824  97.04209137
17100.0  96.89144897  97.16542053
17095.0  96.99591064  97.28187561
17090.0  97.05890656  97.36867523
17085.0  97.16445923  97.48458862
17080.0  97.24718475  97.58290863
17075.0  97.28804016  97.63278961
17070.0  97.34835052  97.70110321
17065.0  97.37978363  97.74351501
17060.0  97.43115997  97.80352783
